Bòrzón abò prôwdzywk (Boletus <extra_id_0> je grzib z rodzëznë bòrzónowatëch.	<extra_id_0> edulis) - to <extra_id_1>
Bladi <extra_id_0> - to je ôrt suska z rodzëznë psowatëch (Canidae).	<extra_id_0> lës (Vulpes pallida) <extra_id_1>
Òna <extra_id_0> swiatową wòjną.	<extra_id_0> bëła przed I <extra_id_1>
Kùltura – to wieloznaczeniowi pòchwôt, <extra_id_0> interpretowóny w rozmajitëch ùczbach.	<extra_id_0> jaczi je różno <extra_id_1>
Òn <extra_id_0> chrochce.	<extra_id_0> w swòjim czasu <extra_id_1>
Òkróm tégò w Pòlsczi <extra_id_0> grekòkatolëcë, wëznôwcë prawòsłôwny christianiznë, lëtrowie (ewangelicë), mùzelmanie, agnosticë ë atejiscë.	<extra_id_0> Repùblice żëją m.jin.: <extra_id_1>
Słowò "apòkrif" fùnkcjonëje téż pòza kòntekstem religijno-filozoficznim <extra_id_0> znaczenim, òpisownym tekscë niegwësnégò pòchòdzeniô, prôwdzëwòtë.	<extra_id_0> w barżi òglowim <extra_id_1>
Pòpielatô jeżëna (Rubus <extra_id_0> to je czierz z rodzëznë różowatëch (Rosaceae).	<extra_id_0> caesius L.) - <extra_id_1>
Jãzëczi: <extra_id_0> tu ùrzãdowima.	<extra_id_0> fińsczi, szwedzczi są <extra_id_1>
Żółwie mòrsczi wëstãpùją tuwò w <extra_id_0> nigdze jindze na swiece.	<extra_id_0> taczi wielenie, jak <extra_id_1>
Na <extra_id_0> plachë.	<extra_id_0> bòkù mają apfelzynowé <extra_id_1>
Matka <extra_id_0> do pòstãpnégò rozpłodzeniô.	<extra_id_0> żëwi młodi mlëka <extra_id_1>
Pò jegò smierce, nene jegò bokadë zbiérë dostôła Mieskô Bibliotéka w 1879 rokù, <extra_id_0> PAN.	<extra_id_0> dzysô Gduńskô Bibliotéka <extra_id_1>
W 1839 r. pòéta wëjachôł do Szwarcarie, dze robił jakno profesór łacyńsczi <extra_id_0> w Lozannie.	<extra_id_0> lëteraturë na ùniwersytece <extra_id_1>
