Pierszé <extra_id_0> jaczi pòzwã pòdónô bëła w fòrmie "Poblocz" pòchôdô z 1401 rokù.	<extra_id_0> wiadło ò wsë, <extra_id_1>
Wedle spisënkù w 2000 rokù w Arizonie mieszkô 120 <extra_id_0> pòchôdaniégò.	<extra_id_0> tësący lëdzy pòlsczégò <extra_id_1>
Wiôldżi slënik (Arion <extra_id_0> je smôrzcz z rodzëznë Arionidae.	<extra_id_0> rufus) - to <extra_id_1>
Pòd kùńc 19. stalatégò Kãtrzëno <extra_id_0> gromadzczich wëszëznów.	<extra_id_0> stało sã sedzbą <extra_id_1>
Walãtégò <extra_id_0> pogańsczich Luperkaliów.	<extra_id_0> w Rzimie miast <extra_id_1>
Mùszi pamiãtac przë tim, że przë lokalizacji dobòrowaniô wôżné są <extra_id_0> wënikają z drogów, jaczé jidą przez gruńtë, z liniów energeticznëch, rurocągów i jinszich òbiektów (w tim téż melioracyjnëch).	<extra_id_0> wszelejaczé ògrańczenia, co <extra_id_1>
Lesny dzãdżel <extra_id_0> - to je wielelatnô roscëna z rodzëznë zelerowatëch (Apiaceae).	<extra_id_0> (Angelica sylvestris L.) <extra_id_1>
Tèż tu w <extra_id_0> 1978 rokù béł ks.	<extra_id_0> kòscele probòszczem òd <extra_id_1>
Òna rosce w <extra_id_0> półkùgli.	<extra_id_0> letny conie nordowi <extra_id_1>
Jak zôs przëznała jegò òtroczka, „wdôrë pò starkù znikłë razã z badérama jegò żëcégò”, <extra_id_0> brak cénôwòwsczégò mùzeùmù.	<extra_id_0> co nawpół dolmaczi <extra_id_1>
Kòłodzéj - rzemiãsnik, <extra_id_0> zwiksza robieniém drzewianëch kòłów do wòzów.	<extra_id_0> chteren zajimół sã <extra_id_1>
Damk <extra_id_0> duchã tajemnotë i krëjamnotë.	<extra_id_0> - je mërawim <extra_id_1>
Taczi ògón wãgòrzi sã i zmili téj séj <extra_id_0> je w sztãdze w tim czasu ùcec.	<extra_id_0> przesladownika, a padalc <extra_id_1>
Trzë razë nominowany do Paszpòrtów Politiczi w kategòrii film – za "Takiego pięknego syna", "Istnienie", <extra_id_0> "Rewers".	<extra_id_0> òdjimczi do filmù <extra_id_1>
Dakôrz - rzemiãsnik, <extra_id_0> robieniém abò ùprôwianiém daków.	<extra_id_0> chteren zajimô sã <extra_id_1>
W ni <extra_id_0> òbzerac.	<extra_id_0> lëdze mògą je <extra_id_1>
Òb lato wôżą kòl <extra_id_0> zbliżô sã zëma grebieją i wôżą jesz rôz tëli, co òb lato.	<extra_id_0> jednégò kilograma czej <extra_id_1>
Òsą wiéchë je przedłëżenié òstaniégò <extra_id_0> chtërna je pòdzelona wãzłami i miãdzëwãzlami.	<extra_id_0> miãdzëwãzla, czyli òsadka <extra_id_1>
Do 1992 rokù państwòwim jãzëkã Czôrnogóry był jãzëk <extra_id_0> – „serbsczi jãzëk ijekawsczégò dialektu”.	<extra_id_0> serbòchòrwacczi, a tej <extra_id_1>
Przemòga - to je nacëskanié na mëslenié, prowadzenié sã abò fizyczny stón <extra_id_0> sã na to nie zgòdzył.	<extra_id_0> człowieka, chòc òn <extra_id_1>
Dredzi teoria je taczi, że pòczątkiem <extra_id_0> wiek XIII, czedë to artisce zaczãlë ùżiwac „pasyków” z partu ptaségò pióra tzw.	<extra_id_0> tej techniczi bëł <extra_id_1>
Szparaga (Asparagus L.) – to je szlach roscënów <extra_id_0> (Asparagaceae).	<extra_id_0> z rodzëznë szparagòwatëch <extra_id_1>
Z ògródków je <extra_id_0> jedzeniô.	<extra_id_0> swiżi ògardowizna do <extra_id_1>
Ale <extra_id_0> sã tak ni mô.	<extra_id_0> wcale ta rzecz <extra_id_1>
W dodôwkù (Uzupełnienia 1974 - 76) <extra_id_0> napisôlë, że są na swiece Kaszubi (	<extra_id_0> do ni m.jin. <extra_id_1>
Dolmaczonô na <extra_id_0> Kirsti Siraste-Suda.	<extra_id_0> fińsczi jãzëk przez <extra_id_1>
Na òbszarze Pòlsczi nôwiãcy wëstãpùje na Warmii, <extra_id_0> Pòmòrzu.	<extra_id_0> Mazurach i na <extra_id_1>
W roku 60, <extra_id_0> żądô od wiôlgorządcë Festusa, żebë jego sprawa bëła rozezdrzónô przed césôrzę, na co Festus sę godzy (25,1-12).	<extra_id_0> jako rzimsczi krajewión, <extra_id_1>
Szwedzkô jarzbina (Sorbus intermedia) – <extra_id_0> różowatëch.	<extra_id_0> drzéwiã z rodzëznë <extra_id_1>
Bez zastrzeżné zamkniãcé sprawë sąd òbrzesziwô procëm <extra_id_0> abò partownégò zrëchtowaniégò szkòdë.	<extra_id_0> ùdanémù nót całownégò <extra_id_1>
Za gardë: Bełz, Krystonopol ë Sokal ze zleżënama wãgla, Pòlskô dôsta Ustrzyki Dolne ë Lutowiska (tekst <extra_id_0> w Dz.	<extra_id_0> ùgodë pòdóné je <extra_id_1>
Tu <extra_id_0> lëdzy.	<extra_id_0> mieszkô 423 <extra_id_1>
Je <extra_id_0> wies.	<extra_id_0> to tipicznô gbùrskô <extra_id_1>
Wilkòwór tasmańsczi (wilk wòrkòwati abò tasmańsczi; Thylacinus cynocephalus) – wëmarłi gatënk ssaka z rodzëznë <extra_id_0> torbôcz dzysészich czasów.	<extra_id_0> wilkòwòrowatëch, nôwiãkszi drapieżny <extra_id_1>
Lëturgiczny <extra_id_0> òbchódô sã w katolëcczim kòscele 13 czerwińca.	<extra_id_0> wspòmink swiãtégò Antóna <extra_id_1>
Brzôd je smaczné ë pachnącé, nadôwô sã do jedzeniô na sërowo, <extra_id_0> zaprawë: soczi, marmòladë, kònfiturë.	<extra_id_0> jak i na <extra_id_1>
Dôwni czãsto plotło sã krãżną techniką, co òznôczô, że <extra_id_0> nieszczépióny kòrzéń przeplôtało sã szczépiónym kòrzeniã.	<extra_id_0> zwiniãti w spiralã <extra_id_1>
Naczął rosnąc kònflikt midzë cywilnyma ë <extra_id_0> ti drëdżé bëłë baro lechò òpłacóny.	<extra_id_0> wòjskòwima służbama, bò <extra_id_1>
To <extra_id_0> jakô pòwsta w 1972 rokù.	<extra_id_0> je jinstitucją kùlturë, <extra_id_1>
Krótkò przed smiercą drëdżégò (1847) ùmarł jich òjc, a mëma w 1850 <extra_id_0> prawie nick nie parłãczëło młodégò Cénôwã z rodnym môlã.	<extra_id_0> r. Tédë ju <extra_id_1>
Gryf <extra_id_0> „Gryf.	<extra_id_0> (pełnô pòzwa <extra_id_1>
Je to 969 rok <extra_id_0> narodzenim Christusa), 969. rok pierszégò tësąclecégò, 69. rok X stolatégò, 9. rok 7-égò dzesãcolecô X stolatégò.	<extra_id_0> naszi erë (pò <extra_id_1>
Przed kùńcã stôrégò rokù nôleżi <extra_id_0> rzeczë i nôrzãdza,spłacëc wszëtczé dłëdżi,żebë sã ùchróniec przed niedostatkã.	<extra_id_0> òddac wszëtczé pòżëczoné <extra_id_1>
Baro wôżné <extra_id_0> przekazëwaniô rãcznégò kaszëbsczégò wësziwaniô żukòwsczégò sztélu pòstãpnym pòkòlenióm.	<extra_id_0> je tuwò wzmòcnienié <extra_id_1>
Jak <extra_id_0> stąpi abò nie gòrzi, tej òna bë nie mia kąsëc.	<extra_id_0> na niã nie <extra_id_1>
Jidzenié pòkraczno, lecënk <extra_id_0> wytrzymale.	<extra_id_0> Chuck i dosc <extra_id_1>
Cénowie mielë dzewiãc sztëk dzecy, <extra_id_0> òkróm tegò téż adoptowóną krewniôczkã Wòjcecha.	<extra_id_0> a mòże ë <extra_id_1>
Na zôczątkù szabla bęła <extra_id_0> gbùrsczi gospodarstwo.	<extra_id_0> jakô òsprzãt na <extra_id_1>
W tim pòklôsztornym <extra_id_0> w niedzelã Mszô Sw.	<extra_id_0> kòscele je czasem <extra_id_1>
Òd <extra_id_0> (	<extra_id_0> samégò pòczątkù pòntifikatu <extra_id_1>
Elemeńta skłôdającé sã na nowi program to nowòroczné zwëczi, swiãtojańskô <extra_id_0> téż tuńce, gôdczi i kaszëbsczi spiéwczi.	<extra_id_0> noc, wiesela a <extra_id_1>
Óbkrój zasadłi, z wiôlgò òkrągłô <extra_id_0> zaòkrôglonyma skrzidłama i krótczim ògónem.	<extra_id_0> głowô, z szeroczimë <extra_id_1>
Warszawa: Państwowe Wydawnictwo <extra_id_0> 1981.	<extra_id_0> Rolnicze i Leśne, <extra_id_1>
Ùplotë - fach, znôny òd czasów <extra_id_0> wërabianiu wszëlczigò dzylù prziborów ze słomë, wiklinë i rafii itp.	<extra_id_0> prehistoricznych,chtërny pòligù na <extra_id_1>
Je to 1917 rok <extra_id_0> narodzenim Christusa), 917. rok drëdżégò tësąclecô, 17. rok XX stolatégò, 7. rok 2-égò dzesãcolecô XX stolatégò.	<extra_id_0> naszi erë (pò <extra_id_1>
Jegò òbéńda je <extra_id_0> samòsprôwnotë.	<extra_id_0> sprôwionô na zasadach <extra_id_1>
Ùmarł 1 lëpińca <extra_id_0> Westwood.	<extra_id_0> 2004 rokù w <extra_id_1>
Pò tich wszëtczich wydarzeniach z Monachium kibice Manchesteru United zaczãlë nosëc <extra_id_0> biôło-czerwionych szalach.	<extra_id_0> czôrné szléfë na <extra_id_1>
Stôrnia (Platichthys flesus) <extra_id_0> rëba z rodzëznë flińdrowatëch (Pleuronectidae).	<extra_id_0> - to je <extra_id_1>
Nie bëłë òne równak pòdôwóné <extra_id_0> Kaszëbsczi.	<extra_id_0> we wszëtczich dzélach <extra_id_1>
W klasyczny pòwiescë westãpiwô wszetkòwiedzący <extra_id_0> fabla.	<extra_id_0> òpòwiôdôcz i wielowątkòwô <extra_id_1>
Przez wiele lat <extra_id_0> Sejmikù Krézowégò.	<extra_id_0> béł Radnym Òkòlnyégò <extra_id_1>
Ùsôdzca wicy jak <extra_id_0> w tim 15 ksążków.	<extra_id_0> 300 ùczbòwëch robòtów, <extra_id_1>
Miono "Korea" abò czasã "Corea" (wëprowôdzô sã <extra_id_0> Koryŏ (고려; 高麗)) je neùtralnym mionã brëkòwanym dô dwóch państw.	<extra_id_0> je òd miona <extra_id_1>
Brómkôrz wëchòdzącë z brómkòwégò pòla, stôwô sã zwëczajnym miónkôrzã i òbòwiązują gò tedë taczé <extra_id_0> pòòstałëch miónkarzów.	<extra_id_0> samé prawa jak <extra_id_1>
Tam w Portage County <extra_id_0> pòlitikôrzã, a pòmôgôł m. jin.	<extra_id_0> Wisconsin òn béł <extra_id_1>
To je rezerwat <extra_id_0> Nôrodów do sprawów Pòùczënë, Ùczbë ë Kùlturë (UNESCO).	<extra_id_0> biosferë Òrganizacje Zjednónëch <extra_id_1>
Do kùńca <extra_id_0> dniów.	<extra_id_0> roku je 142 <extra_id_1>
Je to 986 rok naszi erë (pò narodzenim Christusa), <extra_id_0> tësąclecégò, 86. rok X stolatégò, 6. rok 9-égò dzesãcolecô X stolatégò.	<extra_id_0> 986. rok pierszégò <extra_id_1>
Industrëjô je ôrt ekònomiczny produkcëji chtëren <extra_id_0> wôrów ë chtëren wëmôgô inwesticëji zacht kapitału nigle mòże bëc zwënégòwóny jaczi le zwësk.	<extra_id_0> zajimô sã wëtwòrzewanim <extra_id_1>
To <extra_id_0> i letczi do tresérowaniô pies.	<extra_id_0> je baro rozumni <extra_id_1>
Na zôczątkù zélnika 1841 r. <extra_id_0> kùńcowé, a 21 zélnika dostôł swiôdectwò dozdrzałotë.	<extra_id_0> zdôł dwùdniowé egzaminë <extra_id_1>
Grac na gitarze ùcził sã <extra_id_0> McDowella.	<extra_id_0> m.jin. ù Freda <extra_id_1>
Wedle wiéchrzëznë to je 74. kraj na swecie, mniészi òd Pòlsczi <extra_id_0> wikszi od Nowozelandzczi i Wiôldżi Britanji.	<extra_id_0> i Italsczi, le <extra_id_1>
Baczińsczi ùznôwóny je za jednégò z <extra_id_0> òkùpacji.	<extra_id_0> nôlepszich pòétów czasu <extra_id_1>
Lasowô kùna (Martes martes) – to je <extra_id_0> rodzënë łasëczkòwatëch.	<extra_id_0> rabùszny susk z <extra_id_1>
Wedle kòscoła katolecczégò autor <extra_id_0> Ewanielii.	<extra_id_0> nôstarszi i nôkrotszi <extra_id_1>
Antonim je wȏżnym sztëlisticznym <extra_id_0> stëdnie, blȏsk stȏwȏ sã cemny, Mȏ greńce, Nieskùńczony/ Zgȏrdzony, òkrëti chwȏlbą.”	<extra_id_0> strzódkã, przërównȏj: „Òdżin <extra_id_1>
Wieża blizë je òkrągłô, zbudowônô <extra_id_0> cegłë.	<extra_id_0> z czerwòny, licowóny <extra_id_1>
Dopiéro 1984 r. w Los <extra_id_0> maratońsczi kòbiét.	<extra_id_0> Angeles dodóno biég <extra_id_1>
Takô <extra_id_0> np.	<extra_id_0> pòwiôstka je <extra_id_1>
Roscą òne pòd kòntrolą z ùżëcym <extra_id_0> jednym zortã mikòrizowónëch grzëbów.	<extra_id_0> specjalnégò substratu, szczépionégò <extra_id_1>
Jamo (자모; 字母) abò jinaczi nassori (낱소리) to nômnisze dzéle z jaczich <extra_id_0> hangeul.	<extra_id_0> skłôdô sã alfabét <extra_id_1>
W 1419 <extra_id_0> zaczął bùdowac piérszi mùrowóny zómk, pózni zwóny Dólnym.	<extra_id_0> rokù ksążã Witóld <extra_id_1>
Pólny wróbel (Passer montanus) - <extra_id_0> ptôch z rodzëznë wróblowatëch.	<extra_id_0> to je môłi <extra_id_1>
Kòrejańsczi jãzëk òstôł zakôzany w <extra_id_0> Kòrejanie zmùszani do adoptowania swòjich mionów na japòńsczi ôrt.	<extra_id_0> òficjalnëch dokùmentach a <extra_id_1>
Gduńsk <extra_id_0> Kaszubsko-Pomorskie.	<extra_id_0> : Zrzeszenie <extra_id_1>
Òd 24 XI 1947 do <extra_id_0> pełnił fónkcjã Premiera Francji.	<extra_id_0> 26 lëpińca 1947 <extra_id_1>
Chrzescëjónie <extra_id_0> swiãto.	<extra_id_0> mają w niedzelã <extra_id_1>
Dzysô òwczôrz <extra_id_0> zabôczonym warkã.	<extra_id_0> je tu dosc <extra_id_1>
Zemia mô pasowną masã ë grawitacëjã dlô ùtrzëmaniô wiodrowinë, chtërnô téż chróni przed szkódnym ùltrafioletowim parminienim ë <extra_id_0> chróniącé przed słuńcowim wiatrã.	<extra_id_0> téż magnétowé pòle <extra_id_1>
Ùzdrzenié <extra_id_0> je mòżlëwé le tedë, żle przëjmie òn chrzest.	<extra_id_0> gò przez Waleriana <extra_id_1>
Grób <extra_id_0> w Zjednónëch Krajach Americzi.	<extra_id_0> Hieronima Derdowsczégò je <extra_id_1>
