Terô <extra_id_0> wëchòwaniô.	<extra_id_0> je szkólną fizycznégò <extra_id_1>
Grądol je òbsadzony <extra_id_0> wietewczi.	<extra_id_0> na górze drobné <extra_id_1>
Òn <extra_id_0> chrochce.	<extra_id_0> w swòjim czasu <extra_id_1>
Alpejskô òrogeneza sprawiła <extra_id_0> Gór.	<extra_id_0> rësznotã westrzód Wòdodzéłowich <extra_id_1>
Mô <extra_id_0> we Westrzédny Eùropie ùniwersytet, jaczi nosy dzysô jegò miono.	<extra_id_0> założoné téż pierszi <extra_id_1>
Dërdest (Polygonum L.) <extra_id_0> szlach roscënów z rodzëznë dërdestowatëch.	<extra_id_0> - to je <extra_id_1>
W tim <extra_id_0> ùżił Òrygenes w òdniesenim do ksąg gnostëcczich, nawlekającëch co le mało do Nowégò Testameńtu.	<extra_id_0> znaczenkù nazwë ti <extra_id_1>
Pòzbawióna zródła dochodu w 1949 r. pòzowała nagò do òdjimków, <extra_id_0> r. ùkazały sã w pierwszém numerze Playboya.	<extra_id_0> chterë w 1953 <extra_id_1>
Diskùsëje, wëjazdë, pòtkania – <extra_id_0> fùnksnérowaniu Karna.	<extra_id_0> sã tipiczné w <extra_id_1>
Wòlnô elekcёjô <extra_id_0> przez nietrzimanié zasadów spôdkòwiznë dynasty.	<extra_id_0> – wëbór mònarchë <extra_id_1>
Takô <extra_id_0> np.	<extra_id_0> pòwiôstka je <extra_id_1>
Zebrónô szczawa (Rumex conglomeratus) - to je ôrt <extra_id_0> dërdestowatëch.	<extra_id_0> roscënë z rodzëznë <extra_id_1>
Ji wësziwôrsczé robòtë to są m.jin.: <extra_id_0> i pószewczi na pòdëszczi.	<extra_id_0> tôflôczczi, bieżniczi, òbrësczi <extra_id_1>
Pòwiesc - zort lëteraturë piãkny, <extra_id_0> òpisywô rozbǜdowóny cyg zdarzeniów.	<extra_id_0> narracyjny dokôz, chteren <extra_id_1>
Je <extra_id_0> kaszëbsczi kùlturë.	<extra_id_0> òna wôżnym môlã <extra_id_1>
Za pierszą <extra_id_0> USA (1787).	<extra_id_0> ùznôwô sã Kònstitucjô <extra_id_1>
Wôłczô wisznia (Frangula alnus Mill.) - to je <extra_id_0> szatlachòwatëch (Rhamnaceae).	<extra_id_0> czierz z rodzëznë <extra_id_1>
Do <extra_id_0> ok.	<extra_id_0> terô òpisónô <extra_id_1>
